
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B0:BB:E5:A4:DA:04, 2025-12-31 13:08:57, 2025-12-31 13:11:04, 10, 195, WPA2, CCMP, PSK, -63,       37,        3,   0.  0.  0.  0,   5, Hadad, 
94:4E:5B:6F:7E:D1, 2025-12-31 13:08:57, 2025-12-31 13:11:02,  1, 130, WPA2, CCMP, PSK, -54,       22,        3,   0.  0.  0.  0,  10, HOTBOX2021, 
3C:7C:3F:B5:F3:A0, 2025-12-31 13:08:58, 2025-12-31 13:11:05,  4, 360, WPA2, CCMP, PSK, -45,       37,        9,   0.  0.  0.  0,   8, BOSS 2.4, 
C4:E9:0A:BF:27:B2, 2025-12-31 13:09:01, 2025-12-31 13:11:06, 36, 866, WPA2, CCMP, PSK, -87,       45,        9,   0.  0.  0.  0,   6, SHLP5G, 
B0:BB:E5:A4:DA:05, 2025-12-31 13:09:01, 2025-12-31 13:11:06, 36, 1733, WPA2, CCMP, PSK, -70,       45,       13,   0.  0.  0.  0,   5, Hadad, 
B2:BB:E5:A4:DA:07, 2025-12-31 13:09:01, 2025-12-31 13:11:06, 36, 1733, WPA2, CCMP, PSK, -70,       45,       13,   0.  0.  0.  0,   0, , 
62:45:B6:AC:63:B3, 2025-12-31 13:09:01, 2025-12-31 13:11:06, -1,  -1, WEP, WEP,   , -80,       43,        0,   0.  0.  0.  0,   0, , 
94:4E:5B:6F:7E:D2, 2025-12-31 13:09:02, 2025-12-31 13:11:07, 48, 1733, WPA2, CCMP, PSK, -67,       44,        4,   0.  0.  0.  0,  10, HOTBOX2021, 
96:4E:5B:6F:7E:D7, 2025-12-31 13:09:02, 2025-12-31 13:11:07, 48, 1733, WPA3 WPA2, CCMP, SAE, -67,       44,        4,   0.  0.  0.  0,   0, , 
8A:70:23:01:D7:61, 2025-12-31 13:09:02, 2025-12-31 13:10:36, 48, 1733, WPA3 WPA2, CCMP, SAE, -88,        6,        2,   0.  0.  0.  0,   0, , 
3C:7C:3F:B5:F3:A4, 2025-12-31 13:09:04, 2025-12-31 13:11:09, 60, 780, WPA2, CCMP, PSK, -63,       45,        6,   0.  0.  0.  0,   7, BOSS AC, 
3C:7C:3F:B5:F3:A8, 2025-12-31 13:09:05, 2025-12-31 13:11:10, 100, 1733, WPA2, CCMP, PSK, -54,       45,        4,   0.  0.  0.  0,   7, BOSS AX, 
8A:70:23:01:D7:60, 2025-12-31 13:09:33, 2025-12-31 13:10:21, 48, 1733, WPA2, CCMP, PSK, -88,        6,        2,   0.  0.  0.  0,  10, Taliindibo, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
50:EC:50:05:37:E9, 2025-12-31 13:09:00, 2025-12-31 13:09:00, -61,        7, 3C:7C:3F:B5:F3:A0,BOSS 2.4
08:3A:8D:F4:24:36, 2025-12-31 13:09:13, 2025-12-31 13:11:03, -60,       10, (not associated) ,Aiman
10:D5:61:EC:E6:B8, 2025-12-31 13:09:30, 2025-12-31 13:11:04, -65,        5, 3C:7C:3F:B5:F3:A0,
CA:8C:38:4D:FF:75, 2025-12-31 13:09:32, 2025-12-31 13:10:51, -77,       12, B0:BB:E5:A4:DA:04,
30:95:87:EF:61:56, 2025-12-31 13:09:45, 2025-12-31 13:09:45, -67,        1, (not associated) ,
B8:06:0D:E0:6D:01, 2025-12-31 13:09:46, 2025-12-31 13:10:17, -50,        3, 3C:7C:3F:B5:F3:A0,
A4:E5:7C:B3:EE:84, 2025-12-31 13:09:46, 2025-12-31 13:11:04, -69,        4, B0:BB:E5:A4:DA:04,

