
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D6:92:5E:B8:64:EC, 2026-01-12 12:22:26, 2026-01-12 12:22:30,  1, 540, WPA2, CCMP, PSK, -87,        3,        3,   0.  0.  0.  0,   4, Amit, 
D6:92:5E:B8:64:EE, 2026-01-12 12:22:26, 2026-01-12 12:22:30,  1, 540, WPA2, CCMP, PSK, -86,        4,        0,   0.  0.  0.  0,   0, , 
94:4E:5B:6F:7E:D1, 2026-01-12 12:22:26, 2026-01-12 12:22:30,  1, 130, WPA2, CCMP, PSK, -66,        4,        2,   0.  0.  0.  0,  10, HOTBOX2021, 
84:D8:1B:B4:B7:52, 2026-01-12 12:22:26, 2026-01-12 12:22:30,  1, 360, WPA2, CCMP, PSK, -91,        2,        0,   0.  0.  0.  0,   8, samiazur, 
C4:EB:42:F5:32:E4, 2026-01-12 12:22:26, 2026-01-12 12:22:30,  1, 195, WPA2, CCMP, PSK, -85,        2,        0,   0.  0.  0.  0,   9, Marena100, 
BC:D5:ED:7B:F8:95, 2026-01-12 12:22:26, 2026-01-12 12:22:31,  2, 195, WPA3 WPA2, CCMP, SAE PSK, -89,        6,        0,   0.  0.  0.  0,   4, Jvan, 
CC:D8:43:98:AF:76, 2026-01-12 12:22:27, 2026-01-12 12:22:31,  2, 270, WPA2, CCMP TKIP, PSK, -89,        2,        0,   0.  0.  0.  0,  14, Rotenberg_Plus, 
E4:FA:C4:46:61:D6, 2026-01-12 12:22:27, 2026-01-12 12:22:31,  3, 360, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,   8, mark1966, 
00:B8:C2:3E:21:4B, 2026-01-12 12:22:27, 2026-01-12 12:22:31,  3, 130, WPA2, CCMP, PSK, -89,        2,        1,   0.  0.  0.  0,   5, Yossi, 
EA:FA:C4:46:61:D6, 2026-01-12 12:22:27, 2026-01-12 12:22:31,  3, 360, WPA2, CCMP, PSK, -87,        4,        0,   0.  0.  0.  0,   0, , 
B0:BB:E5:A4:DA:04, 2026-01-12 12:22:28, 2026-01-12 12:22:32,  9, 195, WPA2, CCMP, PSK, -72,        6,        0,   0.  0.  0.  0,   5, Hadad, 
3C:7C:3F:B5:F3:A0, 2026-01-12 12:22:28, 2026-01-12 12:22:32,  9, 360, WPA2, CCMP, PSK, -51,        1,        7,   0.  0.  0.  0,   8, BOSS 2.4, 
C4:E9:0A:BF:27:B3, 2026-01-12 12:22:28, 2026-01-12 12:22:33,  5, 270, WPA2, CCMP, PSK, -83,        2,        0,   0.  0.  0.  0,   4, SHLP, 
62:D5:ED:37:E2:01, 2026-01-12 12:22:29, 2026-01-12 12:22:29, 11, 130, WPA3 WPA2, CCMP, SAE PSK, -90,        3,        0,   0.  0.  0.  0,  13, HOTWiFi7-46BF, 
62:D5:ED:37:E2:02, 2026-01-12 12:22:29, 2026-01-12 12:22:29, 11, 130, WPA3 WPA2, CCMP GCMP, SAE, -93,        1,        0,   0.  0.  0.  0,   0, , 
BC:D5:ED:24:46:C0, 2026-01-12 12:22:29, 2026-01-12 12:22:29, 11, 195, WPA3 WPA2, CCMP, SAE PSK, -88,        3,        0,   0.  0.  0.  0,  13, HOTWiFi7-46BF, 
68:AA:C4:28:5C:80, 2026-01-12 12:22:29, 2026-01-12 12:22:29, 11, 260, WPA2, CCMP, PSK, -91,        2,        0,   0.  0.  0.  0,   6, SOFFER, 
B4:B0:24:02:53:FF, 2026-01-12 12:22:29, 2026-01-12 12:22:29, 11, 130, WPA2, CCMP TKIP, PSK, -93,        1,        0,   0.  0.  0.  0,  18, HOTFiber-0ABA_EXT2, 
0A:C7:F5:8A:79:47, 2026-01-12 12:22:29, 2026-01-12 12:22:29, 11, 130, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,   4, PINI, 
00:F8:CC:FF:0E:80, 2026-01-12 12:22:29, 2026-01-12 12:22:29,  6, 195, WPA3 WPA2, CCMP, SAE PSK, -88,        3,        0,   0.  0.  0.  0,   6, Horder, 
68:4E:05:13:0E:F1, 2026-01-12 12:22:29, 2026-01-12 12:22:29,  6,  65, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,   8, DVR_0ef1, 
00:F8:CC:FF:0E:83, 2026-01-12 12:22:29, 2026-01-12 12:22:29,  6, 195, WPA3 WPA2, CCMP GCMP, SAE, -89,        1,        0,   0.  0.  0.  0,   0, , 
8A:D8:1B:B4:5D:7E, 2026-01-12 12:22:30, 2026-01-12 12:22:30,  1, 360, WPA2, CCMP, PSK, -91,        1,        1,   0.  0.  0.  0,   0, , 
8A:D8:1B:B4:B7:52, 2026-01-12 12:22:30, 2026-01-12 12:22:30,  1, 360, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,   0, , 
34:49:5B:0F:EC:14, 2026-01-12 12:22:30, 2026-01-12 12:22:30,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
10:D5:61:EC:E6:B8, 2026-01-12 12:22:28, 2026-01-12 12:22:31, -66,        2, 3C:7C:3F:B5:F3:A0,
70:C9:32:B7:C7:97, 2026-01-12 12:22:28, 2026-01-12 12:22:29, -92,       72, C4:E9:0A:BF:27:B3,
A8:48:FA:CF:7D:E6, 2026-01-12 12:22:29, 2026-01-12 12:22:32, -88,        2, (not associated) ,Roni
C8:C9:A3:AE:72:0D, 2026-01-12 12:22:30, 2026-01-12 12:22:30, -90,        1, (not associated) ,HUAWEI P20 Pro
B8:D6:1A:4B:1D:20, 2026-01-12 12:22:31, 2026-01-12 12:22:31, -94,        1, (not associated) ,ilanit
B8:06:0D:E0:6D:01, 2026-01-12 12:22:32, 2026-01-12 12:22:32, -58,        1, 3C:7C:3F:B5:F3:A0,
08:3A:8D:F4:24:36, 2026-01-12 12:22:32, 2026-01-12 12:22:32, -66,        1, (not associated) ,Aiman
00:F8:CC:EF:1E:90, 2026-01-12 12:22:33, 2026-01-12 12:22:33, -88,        2, (not associated) ,Smesh21
D8:32:14:9D:12:D1, 2026-01-12 12:22:33, 2026-01-12 12:22:33, -86,        1, (not associated) ,Tenda_9D1330

