Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;HOTBOX2021;94:4E:5B:6F:7E:D1;;1;No;WPA2,AES-CCM;No;130.0;0;4;0;2;0;0;2;;;Mon Jan 12 12:53:34 2026;Mon Jan 12 12:53:38 2026;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;1924Farkas_2.4;D0:CF:0E:85:E8:A4;;8;No;WPA2,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Mon Jan 12 12:53:35 2026;Mon Jan 12 12:53:35 2026;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;mark1966;E4:FA:C4:46:61:D6;;3;No;WPA2,AES-CCM;No;360.0;0;1;0;0;0;0;0;;;Mon Jan 12 12:53:35 2026;Mon Jan 12 12:53:35 2026;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;EA:FA:C4:46:61:D6;;3;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Jan 12 12:53:35 2026;Mon Jan 12 12:53:35 2026;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Más Fuerte ;80:AF:CA:5B:ED:08;;9;No;WPA3,AES-CCM,SAE;No;324.0;0;2;0;0;0;0;0;;;Mon Jan 12 12:53:36 2026;Mon Jan 12 12:53:36 2026;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;BOSS 2.4;3C:7C:3F:B5:F3:A0;;9;No;WPA2,AES-CCM;No;360.0;0;2;0;1;0;0;1;;;Mon Jan 12 12:53:36 2026;Mon Jan 12 12:53:36 2026;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Hadad;B0:BB:E5:A4:DA:04;;9;No;WPA2,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Mon Jan 12 12:53:36 2026;Mon Jan 12 12:53:36 2026;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;SHLP;C4:E9:0A:BF:27:B3;;5;No;WPA2,AES-CCM;No;270.0;0;1;0;0;0;0;0;;;Mon Jan 12 12:53:36 2026;Mon Jan 12 12:53:37 2026;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;62:D5:ED:37:E2:02;;11;No;WPA3,AES-CCM,GCMP,SAE;No;130.0;0;1;0;1;0;0;1;;;Mon Jan 12 12:53:37 2026;Mon Jan 12 12:53:37 2026;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Marena100;C4:EB:42:F5:32:E4;;1;No;WPA2,AES-CCM;No;195.0;0;1;0;1;0;0;1;;;Mon Jan 12 12:53:38 2026;Mon Jan 12 12:53:38 2026;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
